mushroom01, room 0: 04 4
mushroom02, room 0: 08 8
mushroom02, room 1: 04 4
mushroom03, room 0: 09 9
mushroom04, room 0: 02 2
mushroom04, room 1: 02 2
mushroom04, room 2: 01 1
mushroom05, room 0: 05 5
mushroom05, room 1: 0a 10
mushroom05, room 2: 0a 10
mushroom06, room 0: 14 20
mushroom06, room 1: 04 4
mushroom06, room 2: 0c 12
mushroom07, room 0: 09 9
mushroom07, room 1: 02 2
mushroom07, room 2: 09 9
mushroom07, room 3: 09 9
mushroom08, room 0: 05 5
mushroom08, room 1: 01 1
mushroom09, room 0: 1a 26
mushroom09, room 1: 1a 26
mushroom10, room 0: 0d 13
mushroom10, room 1: 0d 13
mushroom11, room 0: 04 4
mushroom11, room 1: 04 4
mushroom11, room 2: 04 4
mushroom12, room 0: 0a 10
mushroom12, room 1: 0a 10
mushroom13, room 0: 0c 12
mushroom13, room 1: 14 20
mushroom13, room 2: 0c 12
mushroom14, room 0: 01 1
mushroom14, room 1: 01 1
mushroom14, room 2: 01 1
mushroom15, room 0: 09 9
mushroom15, room 1: 0b 11
mushroom15, room 2: 06 6
mushroom15, room 3: 0d 13
mushroom16, room 0: 01 1
mushroom16, room 1: 02 2
mushroom17, room 0: 0c 12
mushroom17, room 1: 0c 12
mushroom17, room 2: 0c 12
mushroom17, room 3: 0c 12
mushroom18, room 0: 0c 12
mushroom18, room 1: 15 21
mushroom18, room 2: 15 21
mushroom19, room 0: 09 9
mushroom19, room 1: 09 9
mushroom19, room 2: 07 7
mushroom20, room 0: 01 1
mushroom20, room 1: 02 2
mushroom20, room 2: 02 2
mushroom20, room 3: 02 2
mushroom21, room 0: 02 2
mushroom21, room 1: 02 2
mushroom21, room 2: 02 2
mushroom21, room 3: 01 1
mushroom22, room 0: 03 3
mushroom22, room 1: 03 3
mushroom22, room 2: 03 3
mushroom22, room 3: 03 3
mushroom23, room 0: 02 2
mushroom23, room 1: 02 2
mushroom23, room 2: 02 2
mushroom23, room 3: 01 1
mushroom24, room 0: 0d 13
mushroom24, room 1: 0d 13
mushroom24, room 2: 0d 13
mushroom25, room 0: 09 9
mushroom25, room 1: 14 20
mushroom26, room 0: 01 1
mushroom26, room 1: 06 6
mushroom26, room 2: 01 1
mushroom27, room 0: 5c 92
mushroom27, room 1: 82 130
mushroom27, room 2: 02 2
mushroom27, room 3: 5c 92
mushroom28, room 0: 0a 10
mushroom28, room 1: 0a 10
mushroom28, room 2: 02 2
mushroom28, room 3: 02 2
mushroom29, room 0: 0a 10
mushroom29, room 1: 0a 10
mushroom29, room 2: 02 2
mushroom30, room 0: 02 2
mushroom30, room 1: 0a 10
mushroom30, room 2: 0a 10
mushroom30, room 3: 02 2
promo01, room 0: 0a 10
promo01, room 1: 0a 10
promo02, room 0: 04 4
promo03, room 0: 02 2
promo03, room 1: 02 2
promo03, room 2: 02 2
promo03, room 3: 02 2
star01, room 0: 01 1
star01, room 1: 01 1
star02, room 0: 03 3
star02, room 1: 01 1
star02, room 2: 01 1
star03, room 0: 04 4
star04, room 0: 02 2
star05, room 0: 06 6
star05, room 1: 01 1
Done in 2.24s.
