mushroom01, room 0: 04
mushroom02, room 0: 03
mushroom02, room 1: 04
mushroom03, room 0: 09
mushroom04, room 0: 02
mushroom04, room 1: 02
mushroom04, room 2: 02
mushroom05, room 0: 0a
mushroom05, room 1: 0a
mushroom05, room 2: 0a
mushroom06, room 0: 0e
mushroom06, room 1: 04
mushroom06, room 2: 0c
mushroom07, room 0: 09
mushroom07, room 1: 02
mushroom07, room 2: 09
mushroom07, room 3: 09
mushroom08, room 0: 05
mushroom08, room 1: 01
mushroom09, room 0: 02
mushroom09, room 1: 02
mushroom10, room 0: 0d
mushroom10, room 1: 0d
mushroom11, room 0: 04
mushroom11, room 1: 04
mushroom11, room 2: 04
mushroom12, room 0: 0a
mushroom12, room 1: 0a
mushroom13, room 0: 0c
mushroom13, room 1: 0e
mushroom13, room 2: 0c
mushroom14, room 0: 01
mushroom14, room 1: 01
mushroom14, room 2: 01
mushroom15, room 0: 09
mushroom15, room 1: 03
mushroom15, room 2: 06
mushroom15, room 3: 0d
mushroom16, room 0: 01
mushroom16, room 1: 02
mushroom17, room 0: 0c
mushroom17, room 1: 0c
mushroom17, room 2: 0c
mushroom17, room 3: 0c
mushroom18, room 0: 0c
mushroom18, room 1: 0c
mushroom18, room 2: 0c
mushroom19, room 0: 09
mushroom19, room 1: 09
mushroom19, room 2: 09
mushroom20, room 0: 01
mushroom20, room 1: 02
mushroom20, room 2: 02
mushroom20, room 3: 02
mushroom21, room 0: 02
mushroom21, room 1: 02
mushroom21, room 2: 02
mushroom21, room 3: 01
mushroom22, room 0: 03
mushroom22, room 1: 03
mushroom22, room 2: 03
mushroom22, room 3: 03
mushroom23, room 0: 02
mushroom23, room 1: 02
mushroom23, room 2: 02
mushroom23, room 3: 02
mushroom24, room 0: 0d
mushroom24, room 1: 0d
mushroom24, room 2: 0d
mushroom25, room 0: 09
mushroom25, room 1: 03
mushroom26, room 0: 01
mushroom26, room 1: 06
mushroom26, room 2: 01
mushroom27, room 0: 02
mushroom27, room 1: 02
mushroom27, room 2: 02
mushroom27, room 3: 02
mushroom28, room 0: 0a
mushroom28, room 1: 0a
mushroom28, room 2: 02
mushroom28, room 3: 02
mushroom29, room 0: 0a
mushroom29, room 1: 0a
mushroom29, room 2: 02
mushroom30, room 0: 02
mushroom30, room 1: 0a
mushroom30, room 2: 0a
mushroom30, room 3: 02
promo01, room 0: 0a
promo01, room 1: 0a
promo02, room 0: 04
promo03, room 0: 02
promo03, room 1: 02
promo03, room 2: 02
promo03, room 3: 02
star01, room 0: 01
star01, room 1: 01
star02, room 0: 0e
star02, room 1: 01
star02, room 2: 01
star03, room 0: 04
star04, room 0: 02
star05, room 0: 06
star05, room 1: 01
Done in 2.15s.
